Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Anthony Davis,UK,0.654,0.628,148.3,11.3,24.2,18.2,7.5,8.6,2.5,13.8,18.8,-0.6,1.7,138.8,79.3,59.5,789.1,33.5,2012
Damian Lillard,WSU,0.635,0.562,176.3,1.9,14.9,8.7,27.1,10.7,2.5,0.7,33,1,1.6,128.5,99.9,28.7,518.4,32.7,2012
C.J. McCollum,LU,0.556,0.496,159.6,5,17.7,11.3,25.4,10.5,4.6,1.7,33.6,0.1,1.3,117.4,89,28.4,545.5,31.9,2012
Doug McDermott,CU,0.678,0.654,188.4,9.8,20.6,15.6,8,11.8,0.4,0.3,31.2,-4.9,1.6,126.9,104.1,22.8,529.6,31.4,2012
Mike Muscala,BU,0.6,0.512,170.6,12.2,25,19,14.6,12.7,1,6.7,29.8,-3.1,1.6,122.1,90.9,31.2,504.8,31,2012
Reggie Hamilton,OU,0.61,0.54,174.2,2.4,10.6,6.4,33.4,14.8,3.2,0.2,34.8,-0.8,1.5,121.1,110,11.1,541.1,30.6,2012
Andrew Nicholson,STBN,0.638,0.601,178.1,11,22.9,17.2,9.4,14.7,1.3,7.3,29.6,-6.3,1.5,120.5,94.1,26.4,454.9,30.6,2012
Cody Zeller,IU,0.665,0.623,137.8,11.2,16.8,14.2,9.5,12.4,2.9,4.3,24.3,-3,1.8,132,94.7,37.3,467.5,30.1,2012
De'Mon Brooks,DAV,0.586,0.558,162,12.1,19,15.5,8.8,11.2,2.6,2.3,32.6,-5.1,1.4,117.5,93.9,23.6,324.9,29.7,2012
Mike Scott,UVA,0.62,0.571,167.1,9.6,24.2,17.2,10.7,12.6,1.4,1.8,30.9,-4.7,1.5,118.4,86.4,32,418.3,29.5,2012
Robert Covington,TSU,0.634,0.607,175,11.2,20.1,15.6,11.3,14.2,3,5.3,27.1,-4.8,1.5,120.8,92.7,28.2,470.6,29.4,2012
Darnell Dodson,USM,0.559,0.507,161.2,9.6,22.3,15.3,4.2,8.4,2.9,3.6,29.9,-4.1,1.3,119.5,93.6,26,182.4,29.2,2012
Tony Mitchell,UNT,0.645,0.611,174.5,10.1,27.4,19.4,11.6,19.8,1.7,10.4,24.3,-6,1.6,115.2,80.1,35.1,358.9,29.1,2012
Jared Sullinger,OSU,0.591,0.538,168.7,12.4,23.7,18.1,8.6,11.5,2.3,4,27.9,-3.7,1.5,121.8,85.5,36.3,518.8,29,2012
Guna Ra,MU,0.698,0.693,138.4,16,19.7,17.9,4.9,13.8,1.4,4,23.4,-4.7,1.6,130.8,98,32.8,421.6,28.7,2012
Tyler Zeller,UNC,0.616,0.553,136.1,14.1,20.1,17.2,6.3,12.6,1.8,5.3,24.5,-4.3,1.6,125.4,88.4,37,552.8,28.7,2012
Nate Wolters,SDSU,0.536,0.478,147.2,3.1,14.3,8.7,38,10,3,0.2,32.3,5.1,1.3,119,99,20,507.3,28.2,2012
Ken Horton,CCSU,0.589,0.55,160.6,9.1,21.1,15,12,10.3,3.6,4.4,25.7,-2,1.4,121,92.7,28.3,456.3,28.1,2012
Jake Cohen,DAV,0.612,0.535,172.9,9.6,18.4,14,11.5,15,1.7,6.7,27.3,-4.6,1.5,121,93.4,27.6,354.9,27.9,2012
Jack Cooley,ND,0.643,0.625,130,16.7,20.5,18.6,6.6,12.3,1.4,5.5,21.7,-3.3,1.6,127.6,93.1,34.5,432.1,27.9,2012
Kyle O'Quinn,NSU,0.616,0.581,145.7,11.9,25.4,18.9,10.9,17,1.3,9.2,24.9,-5.4,1.6,116.1,89.9,26.2,546.5,27.7,2012
Al'lonzo Coleman,PC,0.584,0.543,137.6,12.2,26.5,19.6,15.1,16.8,2.4,1.5,32.3,-6.3,1.6,111.8,99.6,12.2,345.4,27.6,2012
Taylor Smith,SFA,0.631,0.701,105.3,14.1,27.6,20.9,4.2,14.3,1.3,8.8,24.2,-5.9,1.6,111.3,81.1,30.2,277.6,27.6,2012
Jae Crowder,MU,0.598,0.568,157.7,6.9,20.7,14,13.5,7.9,4.3,3.1,23.4,0.4,1.4,125.7,84.9,40.8,569.8,27.6,2012
Kevin Jones,WVU,0.573,0.542,155.5,12.6,21.1,16.7,7.8,6.8,1.1,2.9,24.5,-1.2,1.3,127.3,98.2,29.2,565,27.4,2012
Terell Parks,WIU,0.614,0.612,220.5,12.5,28.9,20.6,13.1,14.2,2.6,5.9,22.3,-2.2,1.5,118.4,90,28.4,434.5,27.3,2012
Alex Young,IUPUI,0.538,0.482,158,6.5,15.8,10.9,15.5,11.4,2.9,3.1,33.4,-3.1,1.3,112.8,104.9,7.9,383.9,27.3,2012
Angel Suero,ALB,0.57,0.49,164.8,7.9,13.6,10.7,24.2,18.1,2.5,1.2,37.1,-6.8,1.4,110.3,103.4,6.9,363.4,27.2,2012
William Mosley,NSU,0.574,0.608,106.7,12,21.9,17,7,10.7,2.7,12.4,18.5,-1.9,1.6,117.4,87.5,29.9,499.6,27.1,2012
Eli Holman,UDM,0.61,0.607,120.2,15.6,22,18.7,7.7,11.1,1.9,7.2,21.9,-2.8,1.4,123.8,96.4,27.4,269,27.1,2012
Eric Ferguson,GSU,0.59,0.581,141,9.6,22.5,16,7.2,13.5,3.2,4.7,28.2,-5.4,1.4,111.1,93.2,17.9,337,27,2012
