Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Reggie Hamilton,OU,36,35.7,26.2,7.8,17.5,0.446,3.3,7.8,0.42,7.3,8.3,0.876,0.7,3.1,3.8,5.1,2,0.1,3.7,2.8,2012
Damian Lillard,WSU,32,34.6,24.5,7.2,15.5,0.467,2.9,7.2,0.409,7.1,8,0.887,0.5,4.5,5,4,1.5,0.2,2.3,1.9,2012
Quincy Roberts,GSU,20,37.3,23.9,7.5,18.2,0.41,2,6.1,0.32,7.1,8.8,0.801,1.2,4.8,6,1.6,1,0.3,3.8,2,2012
Doug McDermott,CU,35,31.9,22.9,8.8,14.6,0.601,1.5,3.2,0.486,3.8,4.8,0.796,2.4,5.8,8.2,1.1,0.2,0.1,2.3,1.7,2012
Shane Gibson,SHU,32,33.8,22,7.9,15.5,0.51,2.7,6.3,0.433,3.5,4.1,0.862,0.8,3.9,4.7,2.2,1.5,0.3,3.2,2.8,2012
C.J. McCollum,LU,35,33.1,21.9,7.3,16.4,0.443,1.7,5,0.341,5.7,7,0.811,1.4,5.1,6.5,3.5,2.6,0.5,2.3,2.1,2012
Terrell Stoglin,UMD,32,32.7,21.6,6.9,16.7,0.413,2.8,7.4,0.384,5,6.3,0.787,0.5,2.9,3.4,1.9,0.7,0.1,2.2,2.1,2012
Angel Suero,ALB,32,31.7,21.5,6.9,15,0.459,0.9,2.5,0.358,6.9,8.3,0.83,2.1,3.6,5.8,3.1,1.3,0.3,4.2,2.6,2012
Nate Wolters,SDSU,34,35.8,21.2,7.4,16.4,0.448,1,4,0.241,5.5,7.1,0.783,0.9,4.2,5.1,5.9,1.7,0.1,2.2,1.9,2012
Frank Gaines,IPFW,30,32,21.2,6.9,15.5,0.445,1.6,4.7,0.345,5.7,7.7,0.748,1.3,4.6,5.9,1.2,1.4,0.6,2.6,3,2012
Kevin Murphy,TTU,33,34.5,20.6,7.2,16.3,0.444,2.4,5.8,0.416,3.8,5.2,0.721,0.9,4.3,5.2,2.3,0.8,0.2,3.3,2.2,2012
Colt Ryan,UE,32,36.3,20.5,6.2,14.1,0.442,2.3,5.3,0.438,5.8,6.8,0.844,0.4,3.8,4.2,3.3,1.9,0.2,2.4,2.7,2012
Nick Barbour,HP,31,32.7,20.4,6,13.4,0.446,3.5,7.2,0.484,5,6,0.829,0.5,2,2.5,1.4,1.1,0.4,1.7,2.1,2012
Alex Young,IUPUI,32,32.8,20.4,6.8,16.1,0.424,1.8,5.4,0.339,4.9,6,0.817,1.8,4.1,5.9,2.2,1.6,1,2.4,2.5,2012
