Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Zach Edey,PURD,0.639,0.607,134.1,22.4,27.9,25.2,13.3,11.5,0.5,7.1,32.6,-4.2,1.6,130.3,92.2,38,710.1,40.5,2023
Jake Stephens,CHATT,0.669,0.63,178,8.6,26.2,18,24.4,14.5,1.6,7.7,30.6,-1.6,1.6,128.7,95.5,33.3,487.9,36.2,2023
Liam Robbins,VANDY,0.6,0.543,160,12.6,21.7,17.1,10.3,11.4,0.8,14.6,31.4,-4.2,1.6,122.5,96.9,25.5,334.9,35.8,2023
Trayce Jackson-Davis,IU,0.609,0.582,127.7,10.4,25.6,18.5,25.3,13,1.4,8.9,29.5,0.4,1.5,121.8,94.4,27.4,675,35.1,2023
Dwight Wilson III,OHIO,0.637,0.618,132.9,16.4,26.4,21.3,10.9,11.8,0.8,0.8,26.6,-3,1.5,129.4,103.5,25.9,426.4,32.2,2023
Oscar Tshiebwe,UK,0.603,0.56,128.9,20.7,29.8,25.2,9.5,12.9,2.9,3.3,23.4,-3,1.5,126.8,94.9,31.9,591.8,31.6,2023
Josh Cohen,STFPA,0.608,0.585,124.1,9.5,20,14.9,18,9,1.5,2.7,30.1,-0.3,1.5,124.2,103.3,20.9,503.9,31.4,2023
Isaac Jones,IDAHO,0.653,0.637,162.1,8.6,24.2,16.5,13.4,11.7,1.2,3.8,28.8,-2.7,1.7,125.3,103.8,21.5,451.1,31.4,2023
Drew Timme,ZAGS,0.628,0.62,141.4,10.2,18.3,14.4,19.1,13.3,1.1,3.3,30.1,-1.4,1.5,124,102.2,21.8,585.9,31.3,2023
Keegan Records,COLGT,0.678,0.68,164.1,12.9,19.5,16.3,11.1,9.7,1.4,5.9,24,-0.7,1.6,132.8,98.9,33.9,417.5,31.1,2023
Demilade Adelekun,DART,0.588,0.576,159.3,12,25.5,18.8,26.9,15.5,2.2,8.7,30,-1.9,1.4,113.1,92.4,20.8,348.5,31.1,2023
Adama Sanogo,UConn,0.648,0.627,173.7,12.1,22.4,17.4,11.5,12.7,1.5,3.2,28.2,-4,1.5,125.2,91.5,33.7,513,30.6,2023
Enrique Freeman,AKR,0.621,0.614,156.2,13.1,31.9,22.6,14.4,13.5,1.2,4.4,26.1,-2.8,1.5,122.1,93.4,28.7,537.1,30.1,2023
Nick Smith Jr.,AKR,0.472,0.436,145.4,1.1,6.8,3.9,13.7,10.7,1.8,0.5,28.8,-1.7,1.1,96.4,104.6,-8.2,68.9,13.9,2023
Scoot Henderson,IGN,0.537,0.455,146.7,3.8,16.5,10,30.9,18.4,1.6,1.6,26.8,2.8,1.2,99.2,123.9,-24.7,303.6,13.3,2023
Victor Wembanyama,PLV,0.571,0.509,155.8,7,30,19.4,14.5,13.6,1.3,9.6,30.8,-3.9,1.3,109.8,100.2,9.6,742.9,24.5,2023
Bilal Coulibaly,PLV,0.614,0.578,156.8,6.3,13.7,10.2,10.5,15.5,3.1,2,20,-2.7,1.5,114.4,100.7,13.7,418.4,17.5,2023
Ausar Thompson,NULL,0.535,0.5,138.5,7,27.4,17.3,18,17.9,3.4,5.1,20.6,-1.4,1.3,103.8,91.7,12.1,664.4,19.8,2023
Amen Thompson,NULL,0.542,0.5,221.2,5.7,6.6,6.1,30.5,11.9,4.5,10.2,21.7,4.4,1.2,113.4,96.7,16.7,652.2,26.2,2023
Darius McGhee,LBRTY,0.6,0.57,170.1,1.7,11.6,6.7,21.6,9.2,3.1,0.6,35.6,0.2,1.3,117.8,92.5,25.2,479,29.9,2023
Amari Williams,DREX,0.552,0.53,139.7,10,31.3,20.6,21.3,18.8,3.1,8.3,30.7,-5.2,1.4,103.7,83.5,20.3,407.9,29.3,2023
Drew Pember,UNCA,0.618,0.528,167.3,6.9,25.9,17,15.1,16.7,1.5,6.9,31.5,-5.5,1.7,116,92,24,565.8,29.2,2023
N'Faly Dante,OREG,0.62,0.614,123.2,14.4,24.7,19.6,9.6,16.1,2.4,5.8,25.5,-5.3,1.5,116.3,94,22.3,391.4,29.1,2023
Hunter Dickinson,MICH,0.614,0.587,170.7,8.6,23.4,16.3,10.5,11.9,0.9,5.4,27.6,-3.3,1.4,119.1,97,22,517.9,29.1,2023
Jacob Ognacevic,LIP,0.681,0.643,175.4,6.9,13.3,10.3,4.8,9.3,0.5,1.1,27.7,-3.5,1.6,130.6,104.2,26.4,351.1,29,2023
