Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
A.J. Brodeur,PENN,27,34.7,17.3,6.9,13.7,0.504,0.6,2.3,0.274,2.9,4,0.716,2.2,6.7,8.9,5.2,1.1,1.8,2.8,2.2,2020
A.J. Davis,JMU,32,32.4,15.9,5.3,12.1,0.437,1.7,5,0.331,3.7,5.1,0.735,1.2,3.5,4.7,1.9,1.7,0.3,2.7,1.9,2012
A.J. Durham,PROV,31,34.3,13.6,3.7,10.2,0.36,0.9,3.7,0.237,5.4,6.4,0.834,0.4,3,3.4,3.4,0.5,0.3,2.4,2.2,2022
A.J. English III,IC,28,35.9,22.6,6.8,15.7,0.433,3.4,9.1,0.37,5.6,6.8,0.836,0.5,4.5,5,6.2,1.6,0.5,3.6,2.1,2016
A.J. Green,UNI,31,36.4,18.8,5.6,13.8,0.41,3,7.7,0.388,4.5,4.9,0.915,0.2,3.5,3.7,2.5,0.8,0,2.2,1.6,2022
A.J. Hammons,PU,33,24.6,15,6,10.2,0.592,0.2,0.3,0.545,2.7,3.8,0.709,2.3,5.8,8.2,1.1,0.3,2.5,2,2.4,2016
A.J. Lawson,USC,21,31.4,16.6,5.6,14.1,0.394,2.8,8,0.351,2.7,3.8,0.7,1,3.1,4.1,1.2,1.5,0.1,1.5,1.8,2021
A.J. Mosby,ASU,32,32.2,15.2,5.6,11.1,0.503,1.8,4.5,0.4,2.2,2.6,0.866,0.4,4.3,4.7,3.9,1.4,0.1,2,1.8,2018
A.J. Plitzuweit,USD,22,34.2,19,6,13.3,0.455,2.4,5.5,0.433,4.5,5,0.892,0.6,3.5,4.2,3.9,1,0.1,2.3,2.9,2021
A.J. Walker,AF,28,32.9,14.2,5.2,11.5,0.453,1.7,4.8,0.358,2.1,2.8,0.744,0.4,2.1,2.4,1.5,0.8,0,1.6,2.5,2022
Aaric Murray,TSU,34,32,21.6,7.1,14.4,0.491,0.9,2.7,0.337,6.6,8.9,0.741,2.2,5.3,7.5,1.2,0.9,2.5,2.6,2.6,2014
