Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Zach Edey,PURD,.639,.607,134.1,22.4,27.9,25.2,13.3,11.5,0.5,7.1,32.6,-4.2,1.6,130.3,92.2,38.0,710.1,40.5,2023
Jake Stephens,CHATT,.669,.630,178.0,8.6,26.2,18.0,24.4,14.5,1.6,7.7,30.6,-1.6,1.6,128.7,95.5,33.3,487.9,36.2,2023
Liam Robbins,VANDY,.600,.543,160.0,12.6,21.7,17.1,10.3,11.4,0.8,14.6,31.4,-4.2,1.6,122.5,96.9,25.5,334.9,35.8,2023
Trayce Jackson-Davis,IU,.609,.582,127.7,10.4,25.6,18.5,25.3,13.0,1.4,8.9,29.5,0.4,1.5,121.8,94.4,27.4,675.0,35.1,2023
Dwight Wilson III,OHIO,.637,.618,132.9,16.4,26.4,21.3,10.9,11.8,0.8,0.8,26.6,-3.0,1.5,129.4,103.5,25.9,426.4,32.2,2023
Oscar Tshiebwe,UK,.603,.560,128.9,20.7,29.8,25.2,9.5,12.9,2.9,3.3,23.4,-3.0,1.5,126.8,94.9,31.9,591.8,31.6,2023
Josh Cohen,STFPA,.608,.585,124.1,9.5,20.0,14.9,18.0,9.0,1.5,2.7,30.1,-0.3,1.5,124.2,103.3,20.9,503.9,31.4,2023
Isaac Jones,IDAHO,.653,.637,162.1,8.6,24.2,16.5,13.4,11.7,1.2,3.8,28.8,-2.7,1.7,125.3,103.8,21.5,451.1,31.4,2023
Drew Timme,ZAGS,.628,.620,141.4,10.2,18.3,14.4,19.1,13.3,1.1,3.3,30.1,-1.4,1.5,124.0,102.2,21.8,585.9,31.3,2023
Keegan Records,COLGT,.678,.680,164.1,12.9,19.5,16.3,11.1,9.7,1.4,5.9,24.0,-0.7,1.6,132.8,98.9,33.9,417.5,31.1,2023
Demilade Adelekun,DART,.588,.576,159.3,12.0,25.5,18.8,26.9,15.5,2.2,8.7,30.0,-1.9,1.4,113.1,92.4,20.8,348.5,31.1,2023
Adama Sanogo,UConn,.648,.627,173.7,12.1,22.4,17.4,11.5,12.7,1.5,3.2,28.2,-4.0,1.5,125.2,91.5,33.7,513.0,30.6,2023
Enrique Freeman,AKR,.621,.614,156.2,13.1,31.9,22.6,14.4,13.5,1.2,4.4,26.1,-2.8,1.5,122.1,93.4,28.7,537.1,30.1,2023
Darius McGhee,LBRTY,.600,.570,170.1,1.7,11.6,6.7,21.6,9.2,3.1,0.6,35.6,0.2,1.3,117.8,92.5,25.2,479.0,29.9,2023
Amari Williams,DREX,.552,.530,139.7,10.0,31.3,20.6,21.3,18.8,3.1,8.3,30.7,-5.2,1.4,103.7,83.5,20.3,407.9,29.3,2023
Drew Pember,UNCA,.618,.528,167.3,6.9,25.9,17.0,15.1,16.7,1.5,6.9,31.5,-5.5,1.7,116.0,92.0,24.0,565.8,29.2,2023
N'Faly Dante,OREG,.620,.614,123.2,14.4,24.7,19.6,9.6,16.1,2.4,5.8,25.5,-5.3,1.5,116.3,94.0,22.3,391.4,29.1,2023
Hunter Dickinson,MICH,.614,.587,170.7,8.6,23.4,16.3,10.5,11.9,0.9,5.4,27.6,-3.3,1.4,119.1,97.0,22.0,517.9,29.1,2023
Jacob Ognacevic,LIP,.681,.643,175.4,6.9,13.3,10.3,4.8,9.3,0.5,1.1,27.7,-3.5,1.6,130.6,104.2,26.4,351.1,29.0,2023
Isaac Mushila,TAMU-CC,.640,.562,174.7,14.9,28.6,21.7,8.3,13.2,2.7,0.4,23.0,-3.3,1.7,130.2,96.0,34.1,491.3,28.9,2023
Azuolas Tubelis,ARZ,.614,.580,164.6,11.1,22.8,17.5,14.1,12.9,2.1,2.3,29.9,-3.3,1.4,118.9,93.6,25.4,530.8,28.8,2023
Connor Vanover,ORU,.615,.590,165.6,7.3,23.4,15.7,5.7,8.8,1.5,12.8,22.0,-1.7,1.4,122.9,90.7,32.3,466.8,28.7,2023
Tolu Smith,MISST,.584,.572,116.0,15.4,21.3,18.3,16.1,15.2,1.4,3.2,29.8,-4.9,1.6,113.4,92.5,20.8,420.3,28.7,2023
DaRon Holmes II,DAY,.621,.597,157.5,11.5,17.6,14.8,12.2,13.6,1.3,6.5,27.6,-3.7,1.6,119.8,92.5,27.3,508.0,28.7,2023
Terence Lewis II,LA,.651,.614,146.4,14.9,26.0,20.6,8.5,9.3,2.1,0.9,20.2,-0.9,1.5,136.1,97.6,38.6,385.3,28.6,2023
Grant Nelson,NDSU,.587,.554,151.0,8.8,27.3,18.3,15.6,14.6,1.4,5.6,30.1,-3.9,1.4,112.9,100.6,12.3,432.9,28.4,2023
Tra'Von Fagan,UMBC,.652,.621,174.3,11.0,31.0,20.8,13.2,8.8,1.7,2.5,19.7,1.1,1.6,135.4,100.9,34.5,293.5,28.4,2023
Jesse Edwards,SYRA,.625,.594,232.1,11.8,24.4,18.3,9.3,14.7,2.5,10.5,21.3,-3.0,1.5,121.2,96.9,24.3,524.8,28.2,2023
P.J. Hall,CLEM,.613,.581,171.8,8.5,19.0,14.1,9.8,12.1,1.6,5.3,30.9,-4.3,1.4,115.1,95.5,19.6,344.5,28.2,2023
Ryan Kalkbrenner,CREI,.725,.705,180.6,10.1,12.6,11.4,7.6,11.8,1.1,5.9,20.1,-2.1,1.7,137.5,96.9,40.6,488.8,28.0,2023
Johni Broome,AUB,.546,.539,137.7,13.2,24.2,18.8,12.0,11.8,1.9,9.7,27.6,-3.2,1.3,110.7,92.2,18.5,420.4,27.8,2023
Kobe Brown,MZZOU,.655,.625,180.0,7.7,19.4,13.6,16.8,12.0,2.8,1.9,23.9,0.1,1.5,128.5,102.9,25.6,458.1,27.8,2023
Viktor Lakhin,CINCY,.616,.621,167.8,11.5,24.4,17.9,4.5,11.9,2.9,6.0,22.9,-4.0,1.5,119.1,90.1,29.0,359.0,27.6,2023
Matt Rogers,AMERU,.657,.646,170.8,9.7,23.2,16.7,16.7,16.5,2.0,3.4,27.1,-3.8,1.5,118.5,100.9,17.6,354.6,27.6,2023
Jalen Pickett,PENST,.577,.552,165.2,4.2,20.5,12.7,39.2,12.9,1.6,1.6,27.4,6.1,1.3,120.2,102.1,18.1,617.5,27.5,2023
Jalyn McCreary,MER,.557,.547,119.9,12.3,15.9,14.1,5.7,8.9,1.8,2.8,32.8,-4.4,1.2,111.3,99.6,11.7,283.4,27.5,2023
Jalen Slawson,FRMN,.652,.614,172.0,7.2,20.9,14.1,19.9,17.8,2.9,5.3,24.1,-1.5,1.6,122.1,95.6,26.4,523.9,27.4,2023
Josh Roberts,MAN,.685,.702,125.6,13.7,25.9,19.9,3.3,8.0,1.4,6.7,16.5,-1.6,1.6,136.8,96.3,40.5,404.5,27.4,2023
Cam Shelton,LOYMR,.574,.546,157.3,4.2,14.7,9.5,27.0,11.9,3.0,0.5,30.1,0.9,1.3,119.0,102.4,16.7,438.9,27.3,2023
Bent Leuchten,UCI,.635,.610,164.4,10.9,25.4,18.5,10.6,10.8,0.9,4.8,22.6,-1.3,1.5,126.6,92.2,34.4,240.4,27.3,2023
Xavier Castaneda,AKR,.623,.545,166.7,2.9,12.8,7.9,18.3,11.0,1.7,0.3,30.1,-0.7,1.6,126.4,101.5,25.0,398.8,27.3,2023
Isaiah Cozart,EKU,.628,.635,120.0,14.2,20.9,17.4,2.8,7.0,1.1,11.5,16.6,-1.4,1.5,133.7,95.8,37.9,455.9,27.3,2023
Taevion Kinsey,MARSH,.596,.561,169.0,4.5,9.7,7.1,26.6,10.4,2.5,1.3,25.8,3.6,1.4,125.5,99.4,26.0,537.4,27.2,2023
Brandin Podziemski,SCU,.602,.571,169.1,5.9,22.5,14.3,20.7,12.1,2.8,1.4,25.7,0.4,1.4,121.6,97.5,24.1,546.8,27.2,2023
Armando Bacot,UNC,.587,.554,121.9,15.8,23.5,19.7,10.0,14.1,1.1,3.3,25.8,-4.2,1.5,118.3,97.2,21.2,441.1,27.2,2023
Brice Sensabaugh,OSU,.587,.554,171.6,6.6,20.1,13.5,10.8,12.8,1.3,1.8,34.0,-5.3,1.3,113.9,101.8,12.2,296.3,27.1,2023
DeAndre Williams,MEMP,.593,.565,166.7,10.0,21.1,15.9,19.1,13.3,2.6,3.6,26.9,-1.0,1.4,118.5,94.4,24.1,514.1,27.1,2023
Kris Bankston,NORF,.703,.692,179.7,10.7,19.0,15.1,6.6,15.0,1.8,6.8,20.2,-3.9,1.8,130.8,97.5,33.3,411.3,27.0,2023
Patrick Gardner,MRST,.573,.555,155.6,5.1,20.3,12.8,19.4,13.0,1.5,3.6,33.6,-4.0,1.3,108.1,99.3,8.8,398.8,27.0,2023
Joel Soriano,STJ,.604,.563,129.3,15.7,27.7,21.7,7.8,12.2,0.5,5.1,21.8,-2.8,1.5,124.1,98.2,25.9,523.0,27.0,2023
Supreme Cook,FAIR,.573,.544,118.1,15.6,25.6,20.5,6.4,12.6,0.8,2.9,27.1,-5.0,1.5,115.2,98.3,16.8,331.4,26.9,2023
Kris Murray,IOWA,.572,.548,154.0,9.0,18.7,13.6,11.8,7.9,1.7,3.4,27.3,-0.5,1.3,120.7,105.2,15.4,439.8,26.9,2023
Chris Manon,COR,.623,.586,160.9,6.6,15.2,10.8,21.8,20.5,6.2,3.0,27.1,-3.6,1.5,112.1,95.2,16.9,246.9,26.8,2023
Chris Ledlum,HAR,.541,.520,140.3,10.0,22.8,16.4,12.1,13.2,3.3,4.0,32.8,-5.3,1.3,106.1,91.6,14.5,370.4,26.8,2023
RayJ Dennis,U of T,.562,.534,162.0,3.0,12.6,7.9,32.0,10.2,2.5,0.5,28.4,5.3,1.3,121.5,108.4,13.1,502.8,26.7,2023
Ja'von Franklin,GT,.606,.591,124.2,13.2,21.6,17.3,16.1,13.5,3.1,6.3,17.4,0.7,1.4,125.2,97.3,27.9,428.3,26.7,2023
Alex Gross,MRHD,.597,.572,127.3,13.2,24.0,18.6,8.3,13.2,1.0,8.5,24.9,-4.1,1.4,115.5,93.7,21.8,373.4,26.7,2023
Antoine Davis,UDM,.568,.523,173.2,1.3,8.8,4.9,23.6,11.8,1.9,0.2,37.4,-2.4,1.3,117.2,112.2,5.0,410.8,26.6,2023
Jordan Brown,LA,.590,.575,143.4,10.0,23.6,17.0,12.0,14.8,1.2,3.8,30.2,-5.2,1.5,113.2,98.5,14.7,438.3,26.6,2023
Norchad Omier,UMFL,.616,.582,162.3,15.7,27.1,21.5,8.1,15.4,2.2,4.3,22.1,-3.8,1.5,122.4,98.1,24.3,501.5,26.5,2023
"Jaime Jaquez, Jr.",UCLA,.543,.511,156.8,9.4,21.5,15.4,14.6,9.9,2.8,2.2,28.1,-0.7,1.2,115.0,88.1,27.0,517.4,26.5,2023
Fousseyni Traore,BYU,.642,.608,236.5,13.8,25.2,19.5,12.7,18.1,1.6,3.2,24.2,-4.8,1.6,118.9,96.4,22.5,382.3,26.5,2023
Colin Castleton,FLA,.555,.503,136.2,6.8,20.5,13.9,19.8,15.0,1.7,9.2,27.8,-2.3,1.4,108.1,90.0,18.1,373.9,26.5,2023
E.J. Jarvis,YALE,.602,.576,167.9,11.8,17.6,14.8,5.7,11.6,1.4,8.5,24.6,-3.7,1.4,119.3,90.1,29.3,278.4,26.4,2023
J.T. Shumate,U of T,.655,.616,181.3,7.3,12.6,10.0,8.1,6.1,1.0,4.3,22.0,0.3,1.5,138.2,109.6,28.6,412.3,26.4,2023
Tyzhaun Claude,WCU,.572,.526,157.6,14.3,24.3,19.3,4.6,13.5,0.9,3.5,30.3,-6.7,1.4,112.0,98.0,14.0,338.1,26.4,2023
K.J. Williams,LSU,.587,.556,168.6,10.2,18.3,14.1,7.4,8.8,2.2,2.9,25.7,-2.6,1.3,120.5,104.1,16.4,431.1,26.3,2023
"Walter Clayton, Jr.",IONA,.597,.545,183.9,2.3,14.5,8.5,20.9,11.2,3.5,2.1,26.3,1.2,1.3,122.0,92.6,29.4,389.9,26.2,2023
Jordan Dingle,PENN,.597,.546,167.7,2.6,9.5,6.3,15.6,12.6,2.0,0.5,34.7,-4.0,1.4,114.5,105.9,8.6,320.4,26.2,2023
Branden Carlson,U of U,.586,.550,159.9,8.4,19.8,14.4,12.5,13.3,0.6,7.1,28.4,-3.9,1.4,113.4,91.9,21.4,389.8,26.2,2023
Brayden Parker,IDHST,.585,.555,160.7,8.6,19.4,13.9,17.0,13.0,1.5,5.0,29.2,-2.6,1.3,112.8,103.4,9.4,254.1,26.2,2023
Jordan Minor,MERRI,.537,.517,121.3,12.5,22.5,17.6,18.8,14.7,2.4,8.3,30.5,-3.8,1.4,104.8,84.6,20.2,419.0,26.2,2023
DeMarcus Sharpe,NSU,.527,.488,181.6,3.0,15.4,8.8,31.9,11.8,3.3,2.5,30.5,2.5,1.2,113.3,101.4,11.9,447.0,26.2,2023
Jaelen House,UNM,.573,.506,166.4,1.7,12.4,7.4,26.8,13.1,4.7,2.1,26.4,2.7,1.4,116.9,95.4,21.5,426.8,26.1,2023
