Player Name,Ranking ,Year,College Year,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
Brandon Clarke,4,2020,2019,GU,0.699,0.693,164.8,13.9,19.7,17.1,12.1,11.3,2.3,11,23.9,-1,1.7,138.1,83.8,54.4,683.4,34.6
Buddy Hield,4,2017,2016,OU,0.665,0.623,183.7,4,13,8.8,12.7,14,1.8,1.4,30.2,-4.7,1.5,124.1,100.7,23.4,553.8,26.7
Elfrid Payton,4,2015,2014,LA,0.551,0.524,137.7,7.1,11.8,9.4,32.9,17.2,3.6,1.7,27.7,0.9,1.4,113.7,101.4,12.2,527.5,23.6
Ja Morant,1,2020,2019,MSU,0.612,0.553,167.5,3.9,12.7,8.6,51.8,20.5,2.7,2.3,33.3,4.1,1.5,119.5,95.1,24.4,680.8,29.9
Keegan Murray,5,2023,2022,UI,0.638,0.614,169.9,9.8,20.1,14.9,9.9,5.7,2.3,6.3,29.6,-0.4,1.5,135.1,96,39,681,38.1
Malcolm Brogdon,1,2017,2016,UVA,0.585,0.532,174.5,2.1,13.3,7.9,19.5,8.3,1.8,0.9,28.3,2.2,1.3,122.7,98.9,23.7,425.5,23.9
Marcus Smart,5,2015,2014,OSU,0.552,0.486,144.9,5.1,15,10.3,29.6,14,5,1.9,29.1,1.6,1.4,114.6,90.4,24.2,449.5,25.4
Mason Plumlee,4,2014,2013,DUKE,0.628,0.599,128,9.8,23.3,16.9,11.5,17.4,1.7,4,24.5,-4.4,1.7,117.3,90.9,26.4,546,24.9
Victor Oladipo,2,2014,2013,IU,0.671,0.648,178.6,11.8,13.9,12.9,15.2,18.3,4.5,2.8,22.2,-3.2,1.6,126,85.9,40.1,461.3,27
Anthony Davis,2,2013,2012,UK,0.654,0.628,148.3,11.3,24.2,18.2,7.5,8.6,2.5,13.8,18.8,-0.6,1.7,138.8,79.3,59.5,789.1,33.5
Damian Lillard,1,2013,2012,WSU,0.635,0.562,176.3,1.9,14.9,8.7,27.1,10.7,2.5,0.7,33,1,1.6,128.5,99.9,28.7,518.4,32.7
Dion Waiters,5,2013,2012,SU,0.565,0.534,156.8,2.4,8.3,5.4,21.4,10.4,4.6,1.5,26.8,1.6,1.3,118.2,92.2,26,311.8,25.2
